Sample	Latitude_N	Longitude_E	Layer	Depth	Temperature	Nitrate 	Nitrite 	Phosphate 	Oxygen 	Chlorophyll_a 	Richness	Evenness	ShannonH	Biome 	Region 	Province 	Expedition
11_SUR	41.6686	2.7996	SUR	5	NaN	NaN	NaN	NaN	NaN	NaN	61	0.351962598	3.285869988	Westerlies	MS	MEDI	Tara
18_DCM	35.7528	14.2765	DCM	60	18.36839	NaN	0.025	0.013	237.8893	0.132494	153	0.207788844	3.408416223	Westerlies	MS	MEDI	Tara
18_SUR	35.759	14.2574	SUR	5	21.4395	NaN	0.018	0.026	207.791417	0.048898	128	0.239862813	3.584406236	Westerlies	MS	MEDI	Tara
22_SUR	39.8386	17.4155	SUR	5	17.041483	NaN	0.07	0.02	220.927083	0.180911	230	0.236323226	4.09392465	Westerlies	MS	MEDI	Tara
23_DCM	42.1735	17.7252	DCM	55	15.705783	NaN	0.01	0.01	224.266917	0.236208	221	0.220258663	4.060692716	Westerlies	MS	MEDI	Tara
25_DCM	39.3991	19.3997	DCM	50	15.161277	NaN	0.07	0.07	229.547682	0.201016	209	0.256700329	3.905249812	Westerlies	MS	MEDI	Tara
25_SUR	39.3888	19.3905	SUR	5	18.342533	NaN	0	0.01	218.016833	0.121845	197	0.198034682	3.682426665	Westerlies	MS	MEDI	Tara
30_DCM	33.9235	32.8118	DCM	70	18.979535	0.254406	0.01	0	218.132538	0.141478	171	0.229364202	3.950104605	Westerlies	MS	MEDI	Tara
31_SUR	27.16	34.835	SUR	5	25.0621	-0.137284	0.014	0.024	188.763583	0.048898	216	0.229066609	3.846793375	Coastal	RS	REDS	Tara
32_DCM	23.4183	37.245	DCM	80	26.050367	1.201064	0.01	0.025	179.968	0.224444	118	0.255507181	2.613032731	Coastal	RS	REDS	Tara
32_SUR	23.36	37.2183	SUR	5	25.824383	-0.541919	0.014	0.018	188.416583	0	225	0.197227896	3.840880895	Coastal	RS	REDS	Tara
33_SUR	21.9467	38.2517	SUR	5	27.329517	-0.000271	0	0.053	182.812167	0.163228	233	0.222813379	3.829297144	Coastal	RS	REDS	Tara
34_DCM	18.4417	39.8567	DCM	60	27.589917	0.08645	0.27	0.09	175.384083	0.181406	222	0.222688119	3.85612543	Coastal	RS	REDS	Tara
34_SUR	18.3967	39.875	SUR	5	27.59865	-0.927087	0.02	0.19	184.061167	0.186697	216	0.226052043	3.633108413	Coastal	RS	REDS	Tara
36_DCM	20.8222	63.5133	DCM	17	25.37395	0.367767	0.51	0.51	211.606583	0.353707	151	0.206241569	3.27631417	Coastal	IO	ARAB	Tara
36_SUR	20.8183	63.5047	SUR	5	25.581433	NaN	0.05	0.37	104.908417	0.129697	145	0.20803075	3.098354112	Coastal	IO	ARAB	Tara
37_OMZ	20.8457	63.5851	MES	600	12.066048	31.802451	0.07	2.91	1.63999	0.005649	115	0.286511441	3.189215617	Coastal	IO	ARAB	Tara
38_DCM	19.0284	64.5126	DCM	25	25.494408	1.230122	0.7	0.42	154.699917	0.604752	238	0.24554312	3.899339948	Trades	IO	MONS	Tara
38_OMZ	19.0351	64.5638	MES	340	14.987618	22.444602	0.69	2.64	2.369225	0.014107	106	0.299730193	3.545623761	Trades	IO	MONS	Tara
38_SUR	19.0393	64.4913	SUR	5	26.2314	0.889376	0.01	0.32	199.9355	0.161808	253	0.205311452	3.850663803	Trades	IO	MONS	Tara
39_DCM	18.5839	66.4727	DCM	25	26.812225	-0.611888	0.02	0.26	192.95875	0.17638	247	0.241300296	3.902826024	Trades	IO	MONS	Tara
39_OMZ	18.7341	66.3896	MES	270	15.614195	19.566542	2.07	2.64	2.303017	0.006724	101	0.264428051	3.396596088	Trades	IO	MONS	Tara
39_SUR	18.5918	66.622	SUR	5	26.81765	-1.415582	0.01	0.23	193.3535	0.099089	281	0.22438847	3.878916297	Trades	IO	MONS	Tara
41_DCM	14.5536	70.0128	DCM	60	27.117663	-0.224514	0.07	0.34	148.328125	0.47554	274	0.235939751	4.229458173	Trades	IO	MONS	Tara
41_SUR	14.6059	69.9776	SUR	5	29.089367	-1.343153	0	0.14	187.42925	0.020173	179	0.305957815	3.807704886	Trades	IO	MONS	Tara
42_DCM	5.9998	73.9067	DCM	80	27.723425	0.569531	0.15	0.34	132.77885	0.388348	268	0.245047184	3.982613681	Trades	IO	MONS	Tara
42_SUR	6.0001	73.8955	SUR	5	29.980283	-1.47882	0	0.08	189.25475	0.006724	193	0.260769412	3.789942134	Trades	IO	MONS	Tara
45_SUR	0.0033	71.6428	SUR	5	30.496383	2.575786	0.02	1.94	185.243833	0.026898	208	0.214575064	3.782310161	Trades	IO	MONS	Tara
46_SUR	-0.6625	73.161	SUR	5	30.12565	0.477267	0	0.1	185.733167	0.121909	199	0.225699423	3.724067985	Trades	IO	MONS	Tara
48_SUR	-9.3921	66.4228	SUR	5	29.818233	-2.201764	0.01	0.08	187.2575	0	205	0.21137303	3.853267723	Trades	IO	ISSG	Tara
52_DCM	-16.9534	53.9601	DCM	75	24.89426	0.244232	0.03	0.18	192.55925	0.394226	233	0.22878907	4.011388826	Trades	IO	ISSG	Tara
52_SUR	-16.957	53.9801	SUR	5	27.8684	NaN	0	0.12	191.68	0.176565	239	0.196087786	4.041441445	Trades	IO	ISSG	Tara
56_MES	-15.3379	43.2948	MES	1000	6.23622	NaN	NaN	NaN	88.1626	0	53	0.16692768	1.476655537	Coastal	IO	EAFR	Tara
56_SUR	-15.3424	43.2965	SUR	5	27.323117	NaN	NaN	NaN	193.05775	0.04282	273	0.228965758	4.304314351	Coastal	IO	EAFR	Tara
58_DCM	-17.2855	42.2866	DCM	66	25.308318	0.820273	0.03	0	185.01	0.332199	264	0.218350562	4.181656078	Coastal	IO	EAFR	Tara
