,11_SUR,18_DCM,18_SUR,22_SUR,23_DCM,25_DCM,25_SUR,30_DCM,31_SUR,32_DCM,32_SUR,33_SUR,34_DCM,34_SUR,36_DCM,36_SUR,37_OMZ,38_DCM,38_OMZ,38_SUR,39_DCM,39_OMZ,39_SUR,41_DCM,41_SUR,42_DCM,42_SUR,45_SUR,46_SUR,48_SUR,52_DCM,52_SUR,56_MES,56_SUR,58_DCM,62_SUR,64_DCM,64_MES,64_SUR,65_DCM,65_SUR,66_DCM,66_SUR,67_SUR,68_DCM,68_MES,68_SUR,70_MES,70_SUR,72_DCM,72_MES,72_SUR,76_DCM,76_MES,76_SUR,78_DCM,78_MES,78_SUR,82_DCM,82_SUR,84_SUR,85_DCM,85_MES,85_SUR,100_DCM,100_dDCM,100_SUR,102_DCM,102_MES,102_SUR,109_DCM,109_SUR,111_DCM,111_MES,111_SUR,122_DCM,122_MES,122_SUR,123_MIX,123_SUR,124_MIX,124_SUR,125_MIX,125_SUR,MSP114,137_DCM,137_MES,137_SUR,138_DCM,138_MES,138_SUR
VC_0000,0,0,0,0,0,0,0,5.639765646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51535898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.052621807,0,0,0,0,3.845214279,0,0,0,0,0,0,0,0,0,6.451385888,0,4.993110461,2.715427646,1.562082467
VC_0001,0,0,8.389470895,0.745943532,0,1.120530285,4.738770209,0,0,0.204531203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518222495,0,0,0,0.177710063,0,0,0.483770313,1.647064881,0,1.571419681,0.223507226,1.805587166,1.29251294,34.26657832,0.353147122,0,0.479406536,0.599301666,1.366754207,3.558878013,0.857069103,0.279784858,23.70049389,2.121113471,0,0.458859953,0.807900401,0,0,0.219183727,0,0,0,0,0.189822486,0,0,0,2.578016179,0.772066626,1.285669874,0,0.28314619,0.23333841,0,0,0,0.295734881,0.465336373,0.284211632,0,0,0.672366734,0,0,2.715935844,0.516978142
VC_0002,193.0922788,367.6069537,99.40406503,281.4372069,193.1772721,73.70031148,324.3602078,114.5432221,105.4843917,4.954019405,217.7438884,323.4131377,160.1489466,331.6248739,725.7766196,631.9555063,1.384440268,370.6574298,10.90435632,429.5359878,261.3512236,2.035424767,251.2917212,77.48950738,109.6701562,212.6004083,43.62034315,52.64215805,116.4729356,44.45119731,131.7277154,82.74092253,0,84.51165485,179.8387682,82.95119576,56.89654605,0.272306486,50.55472368,42.22187374,37.68402036,62.5757965,32.10917349,79.99107568,35.2018449,12.38149416,44.45257096,0,39.73950235,215.681229,8.02065052,72.37021478,31.31869328,0.308315169,31.57013074,45.83796433,0.632712243,52.45647147,8.643426397,49.4073093,0.212942739,13.7625436,1.916704754,7.436975712,188.5617719,0,6.079242572,117.6714911,89.2201289,121.5979841,68.93062736,102.3367408,9.488495455,0,1.022749055,43.18318015,1.156088222,25.00018629,41.7535217,40.15034304,42.18718346,44.76473937,45.98901523,118.5717065,0.942441606,105.501237,2.254351457,24.01237939,18.07518759,5.247972228,26.23716776
VC_0003,2.437941273,105.8489769,0,23.85495268,19.08186125,31.29796074,19.3569344,74.81914931,56.08555321,1.979165374,225.0085995,26.44191718,344.4729918,34.06801845,70.66433293,45.12781331,0.199619155,8.47880619,4.3478397,13.84325345,6.360470902,0.793313413,4.404909642,18.41925638,25.82719943,65.95892333,23.83079831,51.52816277,69.42029777,87.46565099,77.25231222,13.04947466,0,12.35488145,15.56806273,9.248569112,51.35230188,0.52562896,22.16533542,18.68338079,8.15661735,28.85435129,25.35462349,46.59680521,62.01857842,1.277123384,29.1818824,0.449236016,25.81612676,67.4822467,13.20636328,46.13881172,33.32018565,0.579060203,22.94848235,53.59481539,0.251830029,16.16319265,0,0,0,3.802363868,5.860958949,0,23.23469018,7.550777435,18.12103274,15.27529657,12.49276999,14.80897741,35.11427515,58.13978889,0.324973125,0.215999092,1.816626454,454.8889877,4.036123196,53.97070958,120.0368353,96.27004964,165.5125996,71.55293369,159.5111038,227.0572219,7.22581043,8.592295443,2.129117736,6.793675844,4.310092051,1.060927868,3.286722819
VC_0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.074623855,0,0,0,0,0,0,0,0,0,0,0,1.684739663,0,7.322820247,0,0.204711965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VC_0005,18.96375672,33.44762668,11.54247166,56.46560286,99.79496078,28.98397264,32.67922078,20.66909727,48.63828819,3.639313312,29.87696742,72.94861966,2.334338526,30.4793369,14.44738586,14.62791856,1.019386601,92.01145594,0.376394611,97.80518963,171.0977249,0.526864217,190.4926751,31.06200141,24.700509,17.15718997,17.83817516,41.53048942,35.31049192,44.4265078,44.82491973,116.0880875,0,70.67469262,102.9206172,58.10712417,34.51432618,0,71.56582897,113.2824459,86.41398302,41.41960274,65.97383793,275.3018316,116.6022614,0.240374942,102.7030558,0,64.12998778,32.78330201,23.97910997,40.14477547,38.88034672,0,20.9224626,63.78231851,0.335740541,51.93774782,224.8993997,208.3917443,225.6788261,93.85415287,0.506010751,156.6386844,195.9286406,15.22550203,357.3160821,291.31724,133.9925154,262.3138478,77.94899251,105.3261566,185.7131741,4.383273685,330.2025664,142.2248119,7.343071301,67.18185687,177.6303712,135.5331875,148.6047389,99.46960417,108.324172,302.1238054,0,105.7475482,3.290546541,111.0878889,64.46428089,1.880465282,101.3569082
VC_0006,77.45688288,158.951308,104.8523829,207.9021769,134.6748719,131.6984476,270.9678408,154.8969109,80.27449555,17.81618178,135.2628398,91.9223131,69.79492217,108.0676889,35.70991946,20.0234463,11.37783336,87.05182533,59.71904251,66.29445983,84.47194861,30.04176336,85.63075567,34.44884004,119.345884,36.13820432,166.5301516,199.9378764,120.7143995,212.5701577,95.80747223,120.8480974,9.685647852,105.4865298,101.0348632,97.37698028,95.77090682,13.40630383,104.1582852,89.01671518,80.07052574,95.4808399,106.5976278,61.48814712,174.4404851,71.25801095,126.2057449,6.920343876,140.2430734,85.24930034,161.1559736,151.1932582,156.0182268,37.28831604,138.3519972,220.5584624,35.71302028,204.6039643,49.94299914,11.88589882,48.39726046,90.03915334,24.0866077,80.12965057,202.9139237,140.1127069,238.7628513,190.698311,268.278315,395.7228278,194.514726,190.398989,270.9017885,44.58804035,289.8325758,426.0117217,33.3149862,393.3378213,285.8314804,305.0958413,323.8486787,338.4683051,303.7905694,277.1074757,57.3855882,87.24497486,40.15272917,106.5427792,93.21466615,31.71416041,111.0096924
VC_0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.244770051,0.480607484,0,0,0,0,0,0,1.800389024,0.421651341,0,0,0,0,0,0.065735231,0,0,0,2.204602743,0,0,0,0,0,0,1.063072279,0,0.467624639,0,0,0,0,0.640291451,1.377330861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.202619684,1.100145058,0,10.98357876
VC_0008,30.01704973,196.922412,43.16477827,132.5235323,140.5908584,60.86454044,124.8309621,129.3273263,52.57238381,17.06534707,144.3974078,44.01827389,75.41936901,43.25730768,13.09039256,1.738427865,5.105556537,53.43584452,13.71018375,35.58752645,56.380454,5.656015867,51.27804898,42.59116436,48.99036103,26.04713905,103.0775447,136.7178309,74.66310721,165.6120702,112.4810129,118.0831164,0,98.62949456,48.64959421,83.42078282,168.9879514,1.648243307,73.90135625,96.0490363,86.84817265,66.17240578,69.07645842,63.31468634,252.3041694,18.3524268,95.52005964,0.693493384,80.33413736,177.8081507,225.8957332,209.0975877,128.1426511,6.209499552,100.2780075,173.9878626,10.94491702,144.6897135,258.6129288,338.8634016,39.48235439,107.8547044,19.61872293,68.71085902,100.474625,38.55564382,195.6387298,87.43145281,121.334795,204.0601724,226.4060274,127.8909377,143.2529115,11.03788443,215.3136584,483.2613154,16.32548488,329.793507,309.8196426,253.4450925,344.7828603,273.8965256,212.451535,172.0471181,5.881175237,37.78785478,9.366290253,74.08464127,55.94801059,10.07651563,106.5028036
VC_0009,20.5379555,49.96291532,13.64504891,99.13618062,140.9595484,48.74932752,41.18604405,56.56097104,19.12308374,12.80694642,21.17329152,35.40672566,5.153645873,17.31078739,35.09737245,39.15813064,36.43362285,55.12697853,26.2257975,40.52470908,79.90001551,31.34359099,97.46779038,53.24421921,2.046679189,68.22522786,10.22681276,10.85659499,39.18281248,29.51302889,56.86194332,99.28446285,0,48.2932593,69.89211938,53.35272043,35.83973923,0,27.97372802,68.70464822,72.06896893,5.113123434,8.280513306,70.97849871,12.65173953,0.20677402,2.428663422,0,47.23723789,157.0988306,7.134992739,10.12009343,13.7553121,0,4.373143134,52.609131,0,43.05126083,5.601654222,12.34993176,17.09839222,37.49981451,0.916101866,3.658165143,70.05012025,51.10117125,41.89671439,122.828107,60.18347251,110.7626436,131.3724476,71.78198811,59.95545064,4.798983379,56.14936158,157.8428536,2.624152603,26.21741585,195.5238782,48.2459474,221.9488777,54.61662591,336.3729021,49.50851507,1.229553539,34.30278269,10.7572105,122.9636994,44.20535909,6.886331851,50.99893832
